,year,X,time.year.depth,date,time.category,depth.target..m.,group,common.name,genus.species,genus.species.updated,number,CPUE.m2.of.net,shrimp.cpue,avg.oni.previous.12.months,el.nino.la.nina
81,2002,142,early morning_2002_70,17-18May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,13,1295,0.01003861,-0.125,no signal
82,2002,438,morning_2002_50,17-18May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,6,1295,0.004633205,-0.125,no signal
85,2002,139,early morning_2002_25,17-18May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-0.125,no signal
88,2002,437,morning_2002_10,17-18May,morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,-0.125,no signal
89,2002,10,afternoon_2002_50,17-18May,afternoon,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-0.125,no signal
92,2003,148,early morning_2003_70,16-17May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,19,1295,0.014671815,0.775,El Nino
93,2003,296,evening_2003_10,16-17May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,12,1295,0.009266409,0.775,El Nino
95,2003,585,night_2003_50,16-17May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,17,1295,0.013127413,0.775,El Nino
101,2003,11,afternoon_2003_10,16-17May,afternoon,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,0.775,El Nino
102,2003,589,night_2003_70,16-17May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,53,1295,0.040926641,0.775,El Nino
103,2003,444,morning_2003_25,16-17May,morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,0.775,El Nino
104,2003,295,evening_2003_10,16-17May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,0.775,El Nino
105,2003,583,night_2003_25,16-17May,night,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,10,1295,0.007722008,0.775,El Nino
110,2003,146,early morning_2003_50,16-17May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,0.775,El Nino
112,2003,447,morning_2003_70,16-17May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,14,1295,0.010810811,0.775,El Nino
114,2004,152,early morning_2004_25,14-15May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,0.191666667,no signal
117,2004,591,night_2004_50,14-15May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,6,1295,0.004633205,0.191666667,no signal
118,2004,297,evening_2004_10,14-15May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,0.191666667,no signal
119,2004,590,night_2004_25,14-15May,night,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,10,1295,0.007722008,0.191666667,no signal
120,2004,595,night_2004_70,14-15May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,18,1295,0.013899614,0.191666667,no signal
121,2004,154,early morning_2004_50,14-15May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,111,1295,0.085714286,0.191666667,no signal
128,2005,599,night_2005_50,13-14May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,0.533333333,El Nino
131,2005,597,night_2005_10,13-14May,night,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1295,0.002316602,0.533333333,El Nino
133,2005,12,afternoon_2005_10,13-14May,afternoon,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,0.533333333,El Nino
143,2006,301,evening_2006_25,12-13May,evening,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-0.358333333,no signal
145,2006,604,night_2006_50,12-13May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,-0.358333333,no signal
151,2006,454,morning_2006_50,12-13May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-0.358333333,no signal
153,2006,158,early morning_2006_10,12-13May,early morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,-0.358333333,no signal
154,2006,164,early morning_2006_70,12-13May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,43,1295,0.033204633,-0.358333333,no signal
157,2006,302,evening_2006_70,12-13May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,-0.358333333,no signal
158,2006,601,night_2006_10,12-13May,night,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,30,1295,0.023166023,-0.358333333,no signal
159,2006,160,early morning_2006_50,12-13May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,23,1295,0.017760618,-0.358333333,no signal
161,2006,159,early morning_2006_25,12-13May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,-0.358333333,no signal
163,2006,457,morning_2006_70,12-13May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,-0.358333333,no signal
171,2006,602,night_2006_25,12-13May,night,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1557.5,0.001284109,-0.358333333,no signal
173,2007,607,night_2007_50,11-12May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,5,1295,0.003861004,0.325,no signal
189,2007,609,night_2007_70,11-12May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,26,1295,0.02007722,0.325,no signal
208,2008,618,night_2008_70,16-17May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,58,1295,0.044787645,-1.1,La Nina
210,2008,617,night_2008_50,16-17May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,-1.1,La Nina
213,2009,623,night_2009_50,15-16May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,9,1295,0.006949807,-0.533333333,La Nina
215,2009,326,evening_2009_70,15-16May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,16,1295,0.012355212,-0.533333333,La Nina
217,2009,624,night_2009_70,15-16May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,-0.533333333,La Nina
222,2009,30,afternoon_2009_70,15-16May,afternoon,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,53,1295,0.040926641,-0.533333333,La Nina
225,2009,27,afternoon_2009_50,15-16May,afternoon,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-0.533333333,La Nina
226,2009,26,afternoon_2009_10,15-16May,afternoon,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-0.533333333,La Nina
229,2009,175,early morning_2009_70,15-16May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,26,1295,0.02007722,-0.533333333,La Nina
230,2009,466,morning_2009_70,15-16May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,14,1295,0.010810811,-0.533333333,La Nina
232,2009,173,early morning_2009_50,15-16May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,6,1295,0.004633205,-0.533333333,La Nina
233,2009,321,evening_2009_50,15-16May,evening,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-0.533333333,La Nina
236,2009,320,evening_2009_10,15-16May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,-0.533333333,La Nina
239,2009,462,morning_2009_50,15-16May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,4,1295,0.003088803,-0.533333333,La Nina
240,2009,172,early morning_2009_25,15-16May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,-0.533333333,La Nina
242,2009,171,early morning_2009_10,15-16May,early morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1295,0.002316602,-0.533333333,La Nina
243,2009,461,morning_2009_10,15-16May,morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,4,1295,0.003088803,-0.533333333,La Nina
248,2010,182,early morning_2010_70,14-15May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,63,1295,0.048648649,0.833333333,El Nino
249,2010,33,afternoon_2010_10,14-15May,afternoon,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,0.833333333,El Nino
251,2010,329,evening_2010_25,14-15May,evening,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,9,1295,0.006949807,0.833333333,El Nino
252,2010,476,morning_2010_70,14-15May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,65,1400,0.046428571,0.833333333,El Nino
254,2010,35,afternoon_2010_70,14-15May,afternoon,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,42,1295,0.032432432,0.833333333,El Nino
258,2010,628,night_2010_25,14-15May,night,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,6,1302,0.004608295,0.833333333,El Nino
262,2010,471,morning_2010_50,14-15May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1295,0.002316602,0.833333333,El Nino
263,2010,328,evening_2010_10,14-15May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,10,1295,0.007722008,0.833333333,El Nino
264,2010,34,afternoon_2010_50,14-15May,afternoon,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,5,1295,0.003861004,0.833333333,El Nino
270,2010,176,early morning_2010_10,14-15May,early morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1305.5,0.00076599,0.833333333,El Nino
273,2010,178,early morning_2010_70,14-15May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1295,0.002316602,0.833333333,El Nino
274,2010,633,night_2010_70,14-15May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,32,1312.5,0.024380952,0.833333333,El Nino
275,2010,626,night_2010_10,14-15May,night,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,12,1305.5,0.009191881,0.833333333,El Nino
276,2010,467,morning_2010_25,14-15May,morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,0.833333333,El Nino
277,2010,177,early morning_2010_25,14-15May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1295,0.002316602,0.833333333,El Nino
278,2010,631,night_2010_50,14-15May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,4,1309,0.003055768,0.833333333,El Nino
284,2011,479,morning_2011_50,13-14May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,15,1302,0.011520737,-1.15,La Nina
288,2011,334,evening_2011_25,13-14May,evening,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,39,1295,0.03011583,-1.15,La Nina
289,2011,340,evening_2011_70,13-14May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,17,1295,0.013127413,-1.15,La Nina
291,2011,482,morning_2011_70,13-14May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,72,1687,0.042679312,-1.15,La Nina
293,2011,333,evening_2011_10,13-14May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,9,1326.5,0.006784772,-1.15,La Nina
297,2011,185,early morning_2011_25,13-14May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,48,1295,0.037065637,-1.15,La Nina
299,2011,477,morning_2011_25,13-14May,morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,4,1302,0.003072197,-1.15,La Nina
301,2011,336,evening_2011_50,13-14May,evening,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,7,1302,0.005376344,-1.15,La Nina
304,2012,192,early morning_2012_50,11-12May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,16,1302,0.012288786,-0.725,La Nina
305,2012,635,night_2012_25,11-12May,night,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,32,1295,0.024710425,-0.725,La Nina
313,2012,188,early morning_2012_10,11-12May,early morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1298.5,0.002310358,-0.725,La Nina
316,2012,189,early morning_2012_25,11-12May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1302,0.001536098,-0.725,La Nina
319,2012,494,morning_2012_70,11-12May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,83,1295,0.064092664,-0.725,La Nina
322,2012,345,evening_2012_50,11-12May,evening,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,34,1295,0.026254826,-0.725,La Nina
329,2012,343,evening_2012_25,11-12May,evening,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1302,0.001536098,-0.725,La Nina
333,2012,485,morning_2012_10,11-12May,morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,4,1305.5,0.00306396,-0.725,La Nina
335,2012,200,early morning_2012_70,11-12May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,108,1330,0.081203008,-0.725,La Nina
338,2012,46,afternoon_2012_70,11-12May,afternoon,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,38,1305.5,0.029107622,-0.725,La Nina
339,2012,489,morning_2012_50,11-12May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,12,1295,0.009266409,-0.725,La Nina
341,2012,346,evening_2012_70,11-12May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,87,1298.5,0.067000385,-0.725,La Nina
349,2012,641,night_2012_50,11-12May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1309,0.002291826,-0.725,La Nina
350,2012,486,morning_2012_25,11-12May,morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1298.5,0.002310358,-0.725,La Nina
351,2012,39,afternoon_2012_25,11-12May,afternoon,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1302,0.000768049,-0.725,La Nina
354,2012,40,afternoon_2012_50,11-12May,afternoon,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,18,1312.5,0.013714286,-0.725,La Nina
356,2012,646,night_2012_70,11-12May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,24,1302,0.01843318,-0.725,La Nina
358,2013,650,night_2013_25,17-18May,night,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,19,NA,NA,-0.041666667,no signal
361,2013,364,evening_2013_70,17-18May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,31,1298.5,0.0238737,-0.041666667,no signal
371,2013,657,night_2013_70,17-18May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,70,NA,NA,-0.041666667,no signal
375,2013,651,night_2013_50,17-18May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,11,NA,NA,-0.041666667,no signal
382,2013,497,morning_2013_50,17-18May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,NA,NA,-0.041666667,no signal
385,2013,205,early morning_2013_50,17-18May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,4,NA,NA,-0.041666667,no signal
388,2013,50,afternoon_2013_50,17-18May,afternoon,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-0.041666667,no signal
389,2013,648,night_2013_10,17-18May,night,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,14,NA,NA,-0.041666667,no signal
390,2013,51,afternoon_2013_70,17-18May,afternoon,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,47,1298.5,0.03619561,-0.041666667,no signal
395,2013,501,morning_2013_70,17-18May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,65,NA,NA,-0.041666667,no signal
396,2013,356,evening_2013_50,17-18May,evening,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,21,1295,0.016216216,-0.041666667,no signal
400,2013,48,afternoon_2013_25,17-18May,afternoon,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1298.5,0.002310358,-0.041666667,no signal
403,2013,496,morning_2013_10,17-18May,morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,NA,NA,-0.041666667,no signal
406,2013,201,early morning_2013_10,17-18May,early morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,NA,NA,-0.041666667,no signal
407,2013,353,evening_2013_25,17-18May,evening,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1298.5,0.001540239,-0.041666667,no signal
408,2013,47,afternoon_2013_10,17-18May,afternoon,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1312.5,0.000761905,-0.041666667,no signal
411,2013,212,early morning_2013_70,17-18May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,42,NA,NA,-0.041666667,no signal
412,2013,352,evening_2013_10,17-18May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,4,1316,0.003039514,-0.041666667,no signal
417,2014,57,afternoon_2014_25,16-17May,afternoon,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,-0.308333333,no signal
420,2014,64,afternoon_2014_70,16-17May,afternoon,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,14,1347.5,0.01038961,-0.308333333,no signal
421,2014,216,early morning_2014_50,16-17May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,14,1302,0.010752688,-0.308333333,no signal
422,2014,506,morning_2014_50,16-17May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,4,1295,0.003088803,-0.308333333,no signal
423,2014,670,night_2014_70,16-17May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,23,1295,0.017760618,-0.308333333,no signal
426,2014,56,afternoon_2014_10,16-17May,afternoon,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1312.5,0.000761905,-0.308333333,no signal
427,2014,665,night_2014_50,16-17May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,20,1291.5,0.015485869,-0.308333333,no signal
431,2014,214,early morning_2014_10,16-17May,early morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1330,0.001503759,-0.308333333,no signal
435,2014,660,night_2014_10,16-17May,night,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,13,1295,0.01003861,-0.308333333,no signal
439,2014,510,morning_2014_70,16-17May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,20,1298.5,0.015402387,-0.308333333,no signal
440,2014,375,evening_2014_70,16-17May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,22,1295,0.016988417,-0.308333333,no signal
444,2014,223,early morning_2014_70,16-17May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,55,1309,0.042016807,-0.308333333,no signal
449,2014,365,evening_2014_25,16-17May,evening,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,-0.308333333,no signal
455,2014,504,morning_2014_10,16-17May,morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,5,1295,0.003861004,-0.308333333,no signal
457,2014,369,evening_2014_50,16-17May,evening,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,15,1883,0.007966012,-0.308333333,no signal
460,2014,663,night_2014_25,16-17May,night,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,27,1298.5,0.020793223,-0.308333333,no signal
471,2015,513,morning_2015_25,15-16May,morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1337,0.001495886,0.391666667,no signal
475,2015,515,morning_2015_50,15-16May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,8,1302,0.006144393,0.391666667,no signal
480,2015,229,early morning_2015_50,15-16May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,9,1295,0.006949807,0.391666667,no signal
481,2015,673,night_2015_10,15-16May,night,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1305.5,0.00076599,0.391666667,no signal
482,2015,68,afternoon_2015_70,15-16May,afternoon,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,315,1316,0.239361702,0.391666667,no signal
483,2015,678,night_2015_50,15-16May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,9,1295,0.006949807,0.391666667,no signal
485,2015,676,night_2015_25,15-16May,night,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,11,1291.5,0.008517228,0.391666667,no signal
488,2015,376,evening_2015_25,15-16May,evening,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,13,1298.5,0.010011552,0.391666667,no signal
492,2015,523,morning_2015_70,15-16May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,50,1295,0.038610039,0.391666667,no signal
