station name,date,time,time category,depth (m),tide (m),depth (MLLW) (m),depth target,wire out (m),Latitude,Longitude,trawl distance (m),net opening(m)
Station No. 1.2,2001-05-12,1:07:00 AM,night,11.5,2.6,8.9,10,290,47 44.224,122 32.835,370,3.5
Station No. 2.2,2001-05-12,1:24:00 AM,night,25,2.5,22.5,25,500,47 44.165,122 32.715,370,3.5
Station No. 3.2,2001-05-12,1:48:00 AM,night,53,2.3,50.7,50,900,47 43.251,122 31.736,370,3.5
Station No. 4.2,2001-05-12,2:14:00 AM,night,72,2.2,69.8,70,1200,47 43.263,122 31.269,370,3.5
Station No. 1.2,2001-05-12,6:14:00 AM,early morning,12.3,2.5,9.8,10,290,47 44.148,122 32.831,370,3.5
Station No. 2.2,2001-05-12,6:30:00 AM,early morning,24.4,2.6,21.8,25,500,47 44.203,122 32.712,370,3.5
Station No. 3.2,2001-05-12,6:52:00 AM,early morning,55,2.7,52.3,50,900,47 43.233,122 31.722,370,3.5
Station No. 4.2,2001-05-12,7:17:00 AM,early morning,70,2.7,67.3,70,1200,47 43.263,122 31.322,370,3.5
Station No. 1.2,2001-05-12,11:17:00 AM,morning,13.7,1.6,12.1,10,290,47 44.161,122 32.809,370,3.5
Station No. 2.2,2001-05-12,11:48:00 AM,morning,25.5,1.2,24.3,25,500,47 44.115,122 32.696,370,3.5
Station No. 3.2,2001-05-12,12:11:00 PM,morning,54,1,53,50,900,47 43.237,122 31.713,370,3.5
Station No. 4.2,2001-05-12,12:35:00 PM,morning,68,0.8,67.2,70,1200,47 43.209,122 31.290,370,3.5
Station No. 1.1,2002-05-17,3:15:00 PM,afternoon,11,-0.4,11.4,10,250,47 44.199,122 32.830,370,3.5
Station No. 2.1,2002-05-17,3:34:00 PM,afternoon,21,-0.3,21.3,25,500,47 44.189,122 32.717,370,3.5
Station No. 3.1,2002-05-17,3:59:00 PM,afternoon,50,-0.2,50.2,50,900,47 43.251,122 31.746,370,3.5
Station No. 4.1,2002-05-17,4:29:00 PM,afternoon,60,-0.1,60.1,70,1200,47 43.172,122 31.307,370,3.5
Station No. 1.2,2002-05-17,8:13:00 PM,evening,13.3,2.6,10.7,10,290,47 44.239,122 32.811,370,3.5
Station No. 2.2,2002-05-17,8:33:00 PM,evening,25,2.8,22.2,25,500,47 44.210,122 32.711,370,3.5
Station No. 3.2,2002-05-17,8:56:00 PM,evening,54,3,51,50,900,47 43.228,122 31.732,370,3.5
Station No. 4.2,2002-05-17,9:23:00 PM,evening,70,3.2,66.8,70,1200,47 43.212,122 31.303,370,3.5
Station No. 1.3,2002-05-18,1:07:00 AM,night,14,3.2,10.8,10,290,47 44.269,122 32.809,370,3.5
Station No. 2.3,2002-05-18,1:24:00 AM,night,27,3,24,25,500,47 44.107,122 32.703,370,3.5
Station No. 3.3,2002-05-18,1:49:00 AM,night,53,2.9,50.1,50,900,47 43.240,122 31.753,370,3.5
Station No. 4.3,2002-05-18,2:15:00 AM,night,68,2.7,65.3,70,1200,47 43.186,122 31.262,370,3.5
Station No. 1.4,2002-05-18,6:14:00 AM,early morning,12.3,2.4,9.9,10,290,47 44.185,122 32.822,370,3.5
Station No. 2.4,2002-05-18,6:40:00 AM,early morning,25,2.5,22.5,25,500,47 44.181,122 32.706,370,3.5
Station No. 3.4,2002-05-18,6:52:00 AM,early morning,55,2.5,55,50,900,47 43.215,122 31.744,370,3.5
Station No. 4.4,2002-05-18,7:27:00 AM,early morning,69,2.6,66.4,70,1200,47 43.207,122 31.289,370,3.5
Station No. 1.5,2002-05-18,10:55:00 AM,morning,13,2.2,10.8,10,290,47 44.229,122 32.811,370,3.5
Station No. 2.5,2002-05-18,11:10:00 AM,morning,25,2,23,25,500,NA,NA,370,3.5
Station No. 3.5,2002-05-18,11:34:00 AM,morning,53,1.8,51.2,50,900,47 43.167,122 31.730,370,3.5
Station No. 4.5,2002-05-18,11:59:00 AM,morning,68,1.6,66.4,70,1200,47 43.209,122 31.290,370,3.5
Station No. 1.1,2003-05-16,3:32:00 PM,afternoon,11.5,1.7,9.8,10,275,47 44.186,122 32.830,370,3.5
Station No. 2.1,2003-05-16,3:52:00 PM,afternoon,24,2,22,25,500,47 44.174,122 32.726,370,3.5
Station No. 3.1,2003-05-16,4:18:00 PM,afternoon,45,2.4,42.6,50,900,47 43.250,122 31.793,370,3.5
Station No. 4.1,2003-05-16,5:05:00 PM,afternoon,47,3.1,43.9,70,1200,47 43.040,122 31.266,370,3.5
Station No. 1.2,2003-05-16,9:28:47 PM,evening,12,2.8,9.2,10,275,47 44.174,122 32.834,370,3.5
Station No. 2.2,2003-05-16,9:55:00 PM,evening,25,2.6,22.4,25,500,47 44.193,122 32.704,370,3.5
Station No. 3.2,2003-05-16,8:20:00 PM,evening,48,2.5,45.5,50,900,47 43.274,122 31.764,370,3.5
Station No. 4.2,2003-05-16,10:48:30 PM,evening,46,3.2,42.8,70,,47 43.043,122 31.306,370,3.5
Station No. 1.3,2003-05-17,1:08:00 AM,night,12,2,10,10,290,47 44.186,122 32.828,370,3.5
Station No. 2.3,2003-05-17,1:25:00 AM,night,25,2.1,22.9,25,500,47 44.165,122 32.705,370,3.5
Station No. 3.3,2003-05-17,1:52:00 AM,night,52,2.3,49.7,50,900,47 43.289,122 31.738,370,3.5
Station No. 4.3,2003-05-17,2:19:00 AM,night,68,2.5,65.5,70,1200,47 43.173,122 31.293,370,3.5
Station No. 1.4,2003-05-17,6:12:00 AM,early morning,14,3.4,10.6,10,290,47 44.209,122 32.816,370,3.5
Station No. 2.4,2003-05-17,6:26:00 AM,early morning,26,3.4,22.6,25,500,47 44.183,122 32.706,370,3.5
Station No. 3.4,2003-05-17,6:50:00 AM,early morning,52,3.2,48.8,50,900,47 43.267,122 31.751,370,3.5
Station No. 4.4,2003-05-17,7:39:00 AM,early morning,60,2.6,57.4,70,1200,47 43.207,122 31.289,370,3.5
Station No. 1.5,2003-05-17,11:08:04 AM,morning,9.8,-0.6,10.4,10,290,47 44.215,122 32.817,370,3.5
Station No. 2.5,2003-05-17,11:22:30 AM,morning,21,-0.7,21.7,25,500,47 44.179,122 32.719,370,3.5
Station No. 3.5,2003-05-17,11:44:59 AM,morning,49,-0.9,49.9,50,900,47 43.276,122 31.736,370,3.5
Station No. 4.5,2003-05-17,12:11:57 PM,morning,68,-1,69,70,1200,47 43.292,122 31.309,370,3.5
Station No. 1.1,2004-05-14,3:08:00 PM,afternoon,12,2.5,9.5,10,280,47 44.160,122 32.829,370,3.5
Station No. 2.1,2004-05-14,3:28:00 PM,afternoon,25,2.5,22.5,25,500,47 44.180,122 32.706,370,3.5
Station No. 3.1,2004-05-14,4:00:00 PM,afternoon,48,2.5,45.5,50,900,47 43.251,122 31.773,370,3.5
Station No. 4.1,2004-05-14,4:35:00 PM,afternoon,70,2.3,67.7,70,1200,47 43.251,122 31.315,370,3.5
Station No. 1.2,2004-05-14,8:09:00 PM,evening,11,1.1,9.9,10,275,47 44.273,122 32.820,370,3.5
Station No. 2.2,2004-05-14,7:12:00 AM,evening,26,1,25,25,500,47 44.172,122 32.699,370,3.5
Station No. 3.2,2004-05-14,1:12:00 PM,evening,51,1,50,50,900,47 43.196,122 31.753,370,3.5
Station No. 4.2,2004-05-14,6:00:00 AM,evening,69,1.1,67.9,70,,47 43.261,122 31.295,370,3.5
Station No. 1.3,2004-05-15,1:12:00 AM,night,13,2.9,10.1,10,290,47 44.228,122 32.818,370,3.5
Station No. 2.3,2004-05-15,6:00:00 AM,night,26,3,23,25,500,47 44.173,122 32.712,370,3.5
Station No. 3.3,2004-05-15,1:26:24 PM,night,50,3.2,46.8,50,900,47 43.272,122 31.763,370,3.5
Station No. 4.3,2004-05-15,6:00:00 AM,night,72,3.4,68.6,70,1200,47 43.274,122 31.316,370,3.5
Station No. 1.4,2004-05-15,4:04:48 AM,early morning,12,2.2,9.8,10,290,47 44.233,122 32.827,370,3.5
Station No. 2.4,2004-05-15,8:38:24 AM,early morning,25,1.9,23.1,25,500,47 44.179,122 32.702,370,3.5
Station No. 3.4,2004-05-15,12:14:24 AM,early morning,54,1.6,52.4,50,900,47 43.246,122 31.732,370,3.5
Station No. 4.4,2004-05-15,6:28:48 AM,early morning,70,1.3,68.7,70,1200,47 43.277,122 31.300,370,3.5
Station No. 1.5,2004-05-15,2:09:36 PM,morning,10,0.6,9.4,10,290,47 44.221,122 32.820,370,3.5
Station No. 2.5,2004-05-15,3:21:36 AM,morning,23,0.7,22.3,25,500,47 44.178,122 32.709,370,3.5
Station No. 3.5,2004-05-15,9:36:00 AM,morning,50,0.9,49.1,50,900,47 43.280,122 31.743,370,3.5
Station No. 4.5,2004-05-15,1:55:12 AM,morning,69,1.1,67.9,70,1200,47 43.269,122 31.304,370,3.5
Station No. 1.1,2005-05-13,NA,afternoon,10,-0.13,10.13,10,240,NA,NA,370,3.5
Station No. 2.1,2005-05-13,3:28:00 PM,afternoon,24,-0.09,24.09,25,500,47 44.173,122 32.701,370,3.5
Station No. 3.1,2005-05-13,3:54:00 PM,afternoon,50,-0.02,50.02,50,900,47 43.247,122 31.744,370,3.5
Station No. 4.1,2005-05-13,4:23:00 PM,afternoon,69,0.2,68.8,70,1200,47 43.259,122 31.299,370,3.5
Station No. 1.2,2005-05-13,7:59:00 PM,evening,12,2.4,9.6,10,275,47 44.204,122 32.823,370,3.5
Station No. 2.2,2005-05-13,4:04:48 AM,evening,26,2.6,23.4,25,500,47 44.160,122 32.712,370,3.5
Station No. 3.2,2005-05-13,9:50:24 AM,evening,53,2.8,50.2,50,900,47 43.255,122 31.739,370,3.5
Station No. 4.2,2005-05-13,2:24:00 AM,evening,73,1.1,71.9,70,,47 43.273,122 31.294,370,3.5
Station No. 1.3,2005-05-14,1:40:48 PM,night,13,3.1,9.9,10,290,47 44.203,122 32.821,370,3.5
Station No. 2.3,2005-05-14,4:04:48 AM,night,26,3,23,25,500,47 44.168,122 32.709,370,3.5
Station No. 3.3,2005-05-14,10:33:36 AM,night,55,2.9,52.1,50,900,47 43.274,122 31.722,370,3.5
Station No. 4.3,2005-05-14,2:52:48 AM,night,72,2.6,69.4,70,1200,47 43.281,122 31.294,370,3.5
Station No. 1.4,2005-05-14,2:09:36 AM,early morning,12,2.3,9.7,10,290,47 44.215,122 32.831,370,3.5
Station No. 2.4,2005-05-14,6:14:24 AM,early morning,25,2.3,22.7,25,500,47 44.188,122 32.708,370,3.5
Station No. 3.4,2005-05-14,12:00:00 PM,early morning,54,2.3,51.7,50,900,47 43.270,122 31.733,370,3.5
Station No. 4.4,2005-05-14,4:04:48 AM,early morning,73,2.4,70.6,70,1200,47 43.294,122 31.300,370,3.5
Station No. 1.5,2005-05-14,1:55:12 AM,morning,12,1.9,10.1,10,290,47 44.224,122 32.817,370,3.5
Station No. 2.5,2005-05-14,6:57:36 AM,morning,25,1.7,23.3,25,500,47 44.123,122 32.709,370,3.5
Station No. 3.5,2005-05-14,12:28:48 PM,morning,51,1.6,49.4,50,900,47 43.282,122 31.735,370,3.5
Station No. 4.5,2005-05-14,9:36:00 AM,morning,73,1.2,71.8,70,1200,47 43.343,122 31.266,370,3.5
Station No. 1.1,2006-05-12,5:45:36 AM,afternoon,11,2,9,10,280,47 44.197,122 32.828,370,3.5
Station No. 2.1,2006-05-12,9:21:36 AM,afternoon,25,2.2,22.8,25,500,47 44.145,122 32.719,370,3.5
Station No. 3.1,2006-05-12,1:40:48 AM,afternoon,52,2.5,49.5,50,900,47 43.275,122 31.738,370,3.5
Station No. 4.1,2006-05-12,1:12:00 PM,afternoon,70,2.9,67.1,70,1200,47 43.237,122 31.303,370,3.5
Station No. 1.2,2006-05-12,2:52:48 AM,evening,12,3,9,10,295,47 44.229,122 32.823,370,3.5
Station No. 2.2,2006-05-12,7:12:00 AM,evening,26,2.9,23.1,25,500,47 44.154,122 32.706,370,3.5
Station No. 3.2,2006-05-12,12:43:12 PM,evening,53,2.8,50.2,50,900,47 43.262,122 31.729,370,3.5
Station No. 4.2,2006-05-12,4:33:36 AM,evening,73,2.7,70.3,70,1200,47 43.274,122 31.289,370,3.5
Station No. 1.3,2006-05-13,1:12:00 AM,night,12,2.2,9.8,10,280,47 44.193,122 32.820,370,3.5
Station No. 2.3,2006-05-13,6:43:12 AM,night,25,2.3,22.7,25,500,47 44.145,122 32.726,445,3.5
Station No. 3.3,2006-05-13,12:43:12 PM,night,53,2.5,50.5,50,900,47 43.261,122 31.737,370,3.5
Station No. 4.3,2006-05-13,4:33:36 AM,night,72,2.6,69.4,70,1200,47 43.269,122 31.306,370,3.5
Station No. 1.4,2006-05-13,2:52:48 AM,early morning,13,2.9,10.1,10,290,47 44.176,122 32.824,370,3.5
Station No. 2.4,2006-05-13,6:28:48 AM,early morning,25,2.7,22.3,25,500,47 44.173,122 32.704,370,3.5
Station No. 3.4,2006-05-13,12:28:48 PM,early morning,54,2.5,51.5,50,900,47 43.257,122 31.733,370,3.5
Station No. 4.4,2006-05-13,4:19:12 AM,early morning,71,2.2,68.8,70,1200,47 43.267,122 31.288,370,3.5
Station No. 1.5,2006-05-13,12:14:24 AM,morning,10,-0.3,10.3,10,290,47 44.192,122 32.822,370,3.5
Station No. 2.5,2006-05-13,3:50:24 AM,morning,22,-0.4,22.4,25,500,47 44.173,122 32.711,370,3.5
Station No. 3.5,2006-05-13,11.40.48,morning,52,-0.5,52.5,50,900,47 43.232,122 31.725,370,3.5
Station No. 4.5,2006-05-13,1:40:48 AM,morning,69,-0.5,69.5,70,1200,47 43.280,122 31.304,370,3.5
Station No. 1.1,2007-05-11,6:28:48 AM,afternoon,11,1.6,9.4,10,280,47 44.190,122 32.827,370,3.5
Station No. 2.1,2007-05-11,NA,afternoon,24,1.5,22.5,25,500,NA,NA,370,3.5
Station No. 3.1,2007-05-11,4:19:12 AM,afternoon,54,1.3,52.7,50,900,47 43.243,122 31.727,370,3.5
Station No. 4.1,2007-05-11,2:52:48 AM,afternoon,71,0.9,70.1,70,1200,47 43.276,122 31.292,370,3.5
Station No. 1.2,2007-05-11,3:07:12 AM,evening,11,0.9,10.1,10,275,47 44.204,122 32.816,370,3.5
Station No. 2.2,2007-05-11,7:12:00 AM,evening,24,1,23,25,500,47 44.153,122 32.710,370,3.5
Station No. 3.2,2007-05-11,12:43:12 PM,evening,50,1.3,48.7,50,900,47 43.284,122 31.746,370,3.5
Station No. 4.2,2007-05-11,5:31:12 AM,evening,71,1.5,69.5,70,1200,47 43.276,122 31.305,370,3.5
Station No. 1.3,2007-05-12,12:43:12 AM,night,13,3.5,9.5,10,300,47 44.202,122 32.823,370,3.5
Station No. 2.3,2007-05-12,6:14:24 AM,night,27,3.5,23.5,25,500,47 44.131,122 32.709,370,3.5
Station No. 3.3,2007-05-12,12:14:24 PM,night,54,3.5,50.5,50,900,47 43.265,122 31.726,370,3.5
Station No. 4.3,2007-05-12,5:16:48 AM,night,74,3.5,70.5,70,1200,47 43.298,122 31.295,370,3.5
Station No. 1.4,2007-05-12,1:26:24 AM,early morning,12,1.6,10.4,10,280,47 44.207,122 32.817,370,3.5
Station No. 2.4,2007-05-12,6:28:48 AM,early morning,25,1.4,23.6,25,500,47 44.140,122 32.709,370,3.5
Station No. 3.4,2007-05-12,NA,early morning,52,1.3,50.7,50,900,NA,NA,370,3.5
Station No. 4.4,2007-05-12,4:33:36 AM,early morning,70,1.1,68.9,70,1200,47 43.274,122 31.299,370,3.5
Station No. 1.5,2005-05-14,1:26:24 AM,morning,12,1.7,10.3,10,290,47 44.221,122 32.815,370,3.5
Station No. 2.5,2005-05-14,5:16:48 AM,morning,24,1.8,22.2,25,500,47 44.154,122 32.715,370,3.5
Station No. 3.5,2005-05-14,11:02:24 AM,morning,53,1.9,51.1,50,900,47 43.259,122 31.736,370,3.5
Station No. 4.5,2005-05-14,2:52:48 AM,morning,71,2.1,68.9,70,1200,47 43.275,122 31.304,370,3.5
Station No. 1.1,2008-05-16,4:48:00 AM,afternoon,13,2.6,10.4,10,285,47 44.191,122 32.816,370,3.5
Station No. 2.1,2008-05-16,10:19:12 AM,afternoon,25,2.7,22.3,25,500,47 44.166,122 32.715,370,3.5
Station No. 3.1,2008-05-16,1:55:12 AM,afternoon,51,2.8,48.2,50,900,47 43.243,122 31.727,370,3.5
Station No. 4.1,2008-05-16,1:40:48 PM,afternoon,71,2.9,68.1,70,1200,47 43.261,122 31.299,370,3.5
Station No. 1.2,2008-05-16,4:19:12 AM,evening,12,1.9,10.1,10,280,47 44.204,122 32.822,370,3.5
Station No. 2.2,2008-05-16,7:55:12 AM,evening,24,1.9,22.1,25,500,47 44.161,122 32.713,370,3.5
Station No. 3.2,2008-05-16,1:55:12 PM,evening,53,1.8,51.2,50,900,47 43.275,122 31.733,370,3.5
Station No. 4.2,2008-05-16,6:28:48 AM,evening,70,1.7,68.3,70,1200,47 43.265,122 31.310,370,3.5
Station No. 1.3,2008-05-17,1:26:24 AM,night,13,2.7,10.3,10,290,47 44.198,122 32.820,370,3.5
Station No. 2.3,2008-05-17,6:28:48 AM,night,28,2.8,25.2,25,500,47 44.067,122 32.704,370,3.5
Station No. 3.3,2008-05-17,12:43:12 PM,night,53,3,50,50,900,47 43.271,122 31.750,370,3.5
Station No. 4.3,2008-05-17,4:48:00 AM,night,73,3.1,69.9,70,1200,47 43.246,122 31.324,370,3.5
Station No. 1.4,2008-05-17,3:21:36 AM,early morning,12,2.2,9.8,10,280,47 44.160,122 32.823,370,3.5
Station No. 2.4,2008-05-17,8:09:36 AM,early morning,27,2,25,25,500,47 44.149,122 32.688,370,3.5
Station No. 3.4,2008-05-17,2:09:36 PM,early morning,52,1.7,50.3,50,900,47 43.247,122 31.735,370,3.5
Station No. 4.4,2008-05-17,9:50:24 AM,early morning,71,1.1,69.9,70,1200,47 43.263,122 31.300,370,3.5
Station No. 1.5,2008-05-17,2:52:48 AM,morning,10,0,10,10,290,47 44.236,122 32.816,370,3.5
Station No. 2.5,2008-05-17,7:12:00 AM,morning,25,0.1,24.9,25,500,47 44.122,122 32.679,370,3.5
Station No. 3.5,2008-05-17,1:12:00 PM,morning,51,0.3,50.7,50,900,47 43.289,122 31.721,370,3.5
Station No. 4.5,2008-05-17,5:45:36 AM,morning,70,0.6,69.4,70,1200,47 43.268,122 31.305,370,3.5
Station No. 1.1,2009-05-15,3:07:12 AM,afternoon,12,0.18,11.82,10,250,47 44.209,122 32.809,370,3.5
Station No. 2.1,2009-05-15,7:40:48 AM,afternoon,25,0.14,24.86,25,500,47 44.178,122 32.680,370,3.5
Station No. 3.1,2009-05-15,12:57:36 PM,afternoon,51,0.14,50.86,50,900,47 43.235,122 31.731,370,3.5
Station No. 4.1,2009-05-15,8:52:48 AM,afternoon,71,0.27,70.73,70,1200,47 43.278,122 31.285,370,3.5
Station No. 1.2,2009-05-15,1:26:24 AM,evening,12,2.16,9.84,10,315,47 44.185,122 32.831,370,3.5
Station No. 2.2,2009-05-15,5:45:36 AM,evening,27,2.32,24.68,25,500,47 44.110,122 32.686,370,3.5
Station No. 3.2,2009-05-15,12:00:00 PM,evening,52,2.58,49.42,50,900,47 43.276,122 31.745,370,3.5
Station No. 4.2,2009-05-15,3:50:24 AM,evening,75,2.79,72.21,70,1200,47 43.272,122 31.289,370,3.5
Station No. 1.3,2009-05-16,2:52:48 AM,night,12,3.03,8.97,10,300,47 44.244,122 32.826,370,3.5
Station No. 2.3,2009-05-16,6:57:36 AM,night,28,2.96,25.04,25,500,47 44.170,122 32.679,370,3.5
Station No. 3.3,2009-05-16,1:12:00 PM,night,54,2.82,51.18,50,900,47 43.260,122 31.732,370,3.5
Station No. 4.3,2009-05-16,5:02:24 AM,night,72,2.67,69.33,70,1200,47 43.267,122 31.286,370,3.5
Station No. 1.4,2009-05-16,1:26:24 AM,early morning,12,1.9,12,10,300,47 44.167,122 32.825,370,3.5
Station No. 2.4,2009-05-16,5:31:12 AM,early morning,26,1.9,24.1,25,500,47 44.149,122 32.685,370,3.5
Station No. 3.4,2009-05-16,12:00:00 PM,early morning,52,1.93,50.07,50,900,47 43.242,122 31.750,370,3.5
Station No. 4.4,2009-05-16,4:19:12 AM,early morning,72,1.95,70.05,70,1200,47 43.310,122 31.298,370,3.5
Station No. 1.5,2009-05-16,2:52:48 AM,morning,13,2.14,10.86,10,300,47 44.200,122 32.812,370,3.5
Station No. 2.5,2009-05-16,6:57:36 AM,morning,24,2.09,21.91,25,500,47 44.175,122 32.714,370,3.5
Station No. 3.5,2009-05-16,12:28:48 PM,morning,51,1.99,49.01,50,900,47 43.303,122 31.746,370,3.5
Station No. 4.5,2009-05-16,5:31:12 AM,morning,72,1.82,70.18,70,1200,47 43.270,122 31.291,370,3.5
Station No. 1.1,2010-05-14,4:04:48 AM,afternoon,13,1.42,11.58,10,260,47 44.221,122 32.808,370,3.5
Station No. 2.1,2010-05-14,8:24:00 AM,afternoon,25,1.68,23.32,25,500,47 44.149,122 32.707,372,3.5
Station No. 3.1,2010-05-14,12:00:00 AM,afternoon,51,2.03,48.97,50,900,47 43.244,122 31.744,370,3.5
Station No. 4.1,2010-05-14,9:07:12 AM,afternoon,73,2.52,70.48,70,1200,47 43.271,122 31.308.,370,3.5
Station No. 1.2,2010-05-14,5:02:24 AM,evening,13,3.39,9.61,10,300,47 44.195,122 32.823,370,3.5
Station No. 2.2,2010-05-14,9:21:36 AM,evening,27,3.31,23.69,25,500,47 44.108,122 32.723,370,3.5
Station No. 3.2,2010-05-14,12:43:12 AM,evening,52,3.19,48.81,50,900,47 43.264,122 31.721,370,3.5
Station No. 4.2,2010-05-14,6:57:36 AM,evening,73,3.04,73,70,1200,47 43.273,122 31.271,370,3.5
Station No. 1.3,2010-05-15,9:07:12 AM,night,13,2.33,10.67,10,300,47 44.169,122 32.816,373,3.5
Station No. 2.3,2010-05-15,2:09:36 PM,night,26,2.43,23.57,25,500,47 44.162,122 32.686,372,3.5
Station No. 3.3,2010-05-15,9:07:12 AM,night,48,2.62,45.38,50,900,47 43.319,122 31.767,374,3.5
Station No. 4.3,2010-05-15,2:38:24 AM,night,73,2.78,73,70,1200,47 43.273,122 31.300,375,3.5
Station No. 1.4,2010-05-15,6:43:12 AM,early morning,13,3.05,12,10,300,47 44.169,122 32.816,373,3.5
Station No. 2.4,2010-05-15,11:02:24 AM,early morning,28,2.94,25.06,25,500,47 44.098,122 32.692,370,3.5
Station No. 3.4,2010-05-15,2:24:00 AM,early morning,52,2.74,49.26,50,900,47 43.251,122 31.733,370,3.5
Station No. 4.4,2010-05-15,9:07:12 AM,early morning,73,2.44,73,70,1200,47 43.286,122 31.304,370,3.5
Station No. 1.5,2010-05-15,2:09:36 PM,morning,10,-0.32,10.32,10,240,47 44.202,122 32.828,370,3.5
Station No. 2.5,2010-05-15,3:36:00 AM,morning,24,-0.49,24.49,25,500,47 44.084,122 32.710,370,3.5
Station No. 3.5,2010-05-15,8:52:48 AM,morning,52,-0.67,52.67,50,900,47 43.214,122 31.723,370,3.5
Station No. 4.5,2010-05-15,12:43:12 AM,morning,69,-0.8,69.8,70,1200,47 43.280,122 31.289,400,3.5
Station No. 1.2,2011-05-13,12:28:48 AM,evening,11,1.26,9.74,10,300,47 44.235,122 32.822,379,3.5
Station No. 2.2,2011-05-13,6:00:00 AM,evening,26,1.39,24.61,25,500,47 44.122,122 32.695,370,3.5
Station No. 3.2,2011-05-13,12:28:48 PM,evening,52,1.58,50.42,50,900,47 43.262,122 31.730,372,3.5
Station No. 4.2,2011-05-13,5:45:36 AM,evening,72,1.84,70.16,70,1200,47 43.323,122 31.329,370,3.5
Station No. 1.3,2011-05-14,6:57:36 AM,night,13,3.42,9.58,10,300,47 44.138,122 32.833,370,3.5
Station No. 2.3,2011-05-14,11:45:36 AM,night,27,3.51,23.49,25,500,47 44.152,122 32.703,368,3.5
Station No. 3.3,2011-05-14,3:50:24 AM,night,57,3.57,53.43,50,900,47 43.231,122 31.720,400,3.5
Station No. 4.3,2011-05-14,12:43:12 AM,night,75,3.51,73,70,1200,47 43.310,122 31.294,370,3.5
Station No. 1.4,2011-05-14,4:04:48 AM,early morning,11.5,1.53,9.97,10,280,47 44.135,122 32.836,371,3.5
Station No. 2.4,2011-05-14,8:38:24 AM,early morning,26,1.26,24.74,25,500,47 44.119,122 32.714,370,3.5
Station No. 3.4,2011-05-14,2:09:36 PM,early morning,53,0.97,52.03,50,900,47 43.243,122 31.734,372,3.5
Station No. 4.4,2011-05-14,11:31:12 AM,early morning,71,0.42,70.58,70,1200,47 43.272,122 31.297,370,3.5
Station No. 1.5,2011-05-14,2:52:48 AM,morning,11,0.7,10.3,10,270,47 44.186,122 32.824,372,3.5
Station No. 2.5,2011-05-14,7:26:24 AM,morning,25,0.9,24.1,25,500,47 44.151,122 32.690,372,3.5
